School	NNP	B-Premise	0	~
to	TO	I-Claim	5	supports:3
have	VB	I-Claim	5	supports:3
fun	NN	I-Claim	5	supports:3
,	,	I-Claim	5	supports:3
learn	VBP	I-Claim	5	supports:3
and	CC	I-Claim	5	supports:3
be	VB	I-Claim	5	supports:3
happy	JJ	I-Claim	5	supports:3
.	.	O	~	~
A	DT	B-Premise	6	supports:4
child	NN	I-Premise	6	supports:4
's	POS	I-Premise	6	supports:4
daily	JJ	I-Premise	6	supports:4
life	NN	I-Premise	6	supports:4
is	VBZ	I-Premise	6	supports:4
school	NN	I-Premise	6	supports:4
,	,	I-Premise	6	supports:4
playing	VBG	I-Premise	6	supports:4
and	CC	I-Premise	6	supports:4
sleeping	VBG	I-Premise	6	supports:4
.	.	O	~	~
For	IN	O	~	~
example	NN	O	~	~
,	,	O	~	~
when	WRB	B-Premise	7	supports:3
I	PRP	I-Premise	7	supports:3
was	VBD	I-Premise	7	supports:3
young	JJ	I-Premise	7	supports:3
I	PRP	I-Premise	7	supports:3
just	RB	I-Premise	7	supports:3
came	VBD	I-Premise	7	supports:3
home	NN	I-Premise	7	supports:3
from	IN	I-Premise	7	supports:3
school	NN	I-Premise	7	supports:3
and	CC	I-Premise	7	supports:3
then	RB	I-Premise	7	supports:3
I	PRP	I-Premise	7	supports:3
would	MD	I-Premise	7	supports:3
took	VBD	I-Premise	7	supports:3
my	PRP$	I-Premise	7	supports:3
bike	NN	I-Premise	7	supports:3
or	CC	I-Premise	7	supports:3
soccer	NN	I-Premise	7	supports:3
ball	NN	I-Premise	7	supports:3
and	CC	I-Premise	7	supports:3
go	VB	I-Premise	7	supports:3
out	RP	I-Premise	7	supports:3
and	CC	I-Premise	7	supports:3
play	VB	I-Premise	7	supports:3
with	IN	I-Premise	7	supports:3
my	PRP$	I-Premise	7	supports:3
friends	NNS	I-Premise	7	supports:3
in	IN	I-Premise	7	supports:3
my	PRP$	I-Premise	7	supports:3
neighborhood	NN	I-Premise	7	supports:3
.	.	O	~	~
Moreover	RB	O	~	~
,	,	O	~	~
I	PRP	B-Premise	8	supports:3
did	VBD	I-Premise	8	supports:3
not	RB	I-Premise	8	supports:3
have	VB	I-Premise	8	supports:3
to	TO	I-Premise	8	supports:3
worry	VB	I-Premise	8	supports:3
about	IN	I-Premise	8	supports:3
costs	NNS	I-Premise	8	supports:3
and	CC	I-Premise	8	supports:3
other	JJ	I-Premise	8	supports:3
things	NNS	I-Premise	8	supports:3
,	,	O	~	~
I	PRP	B-Premise	9	supports:3
just	RB	I-Premise	9	supports:3
had	VBD	I-Premise	9	supports:3
fun	NN	I-Premise	9	supports:3
and	CC	I-Premise	9	supports:3
learned	VBD	I-Premise	9	supports:3
.	.	O	~	~
Also	RB	O	~	~
,	,	O	~	~
people	NNS	B-Premise	10	supports:~
are	VBP	I-Premise	10	supports:~
most	RBS	I-Premise	10	supports:~
creative	JJ	I-Premise	10	supports:~
when	WRB	I-Premise	10	supports:~
they	PRP	I-Premise	10	supports:~
were	VBD	I-Premise	10	supports:~
children	NNS	I-Premise	10	supports:~
,	,	I-Premise	10	supports:~
children	NNS	I-Premise	10	supports:~
imagine	VBP	I-Premise	10	supports:~
new	JJ	I-Premise	10	supports:~
things	NNS	I-Premise	10	supports:~
and	CC	I-Premise	10	supports:~
games	NNS	I-Premise	10	supports:~
just	RB	I-Premise	10	supports:~
to	TO	I-Premise	10	supports:~
have	VB	I-Premise	10	supports:~
fun	NN	I-Premise	10	supports:~
and	CC	I-Premise	10	supports:~
be	VB	I-Premise	10	supports:~
happy	JJ	I-Premise	10	supports:~
.	.	O	~	~
Second	RB	O	~	~
,	,	O	~	~
childhood	NN	B-Premise	11	supports:12
is	VBZ	I-Premise	11	supports:12
the	DT	I-Premise	11	supports:12
period	NN	I-Premise	11	supports:12
where	WRB	I-Premise	11	supports:12
people	NNS	I-Premise	11	supports:12
go	VBP	I-Premise	11	supports:12
to	TO	I-Premise	11	supports:12
school	NN	I-Premise	11	supports:12
and	CC	I-Premise	11	supports:12
learn	VB	I-Premise	11	supports:12
.	.	O	~	~
Therefore	RB	O	~	~
,	,	O	~	~
school	NN	B-Claim	12	For:~
memories	NNS	I-Claim	12	For:~
are	VBP	I-Claim	12	For:~
one	CD	I-Claim	12	For:~
of	IN	I-Claim	12	For:~
the	DT	I-Claim	12	For:~
best	JJS	I-Claim	12	For:~
memories	NNS	I-Claim	12	For:~
in	IN	I-Claim	12	For:~
a	DT	I-Claim	12	For:~
person	NN	I-Claim	12	For:~
's	POS	I-Claim	12	For:~
life	NN	I-Claim	12	For:~
.	.	O	~	~
There	EX	O	~	~
you	PRP	O	~	~
learn	VBP	O	~	~
,	,	O	~	~
to	TO	O	~	~
find	VB	O	~	~
your	PRP$	O	~	~
first	JJ	O	~	~
love	NN	O	~	~
,	,	O	~	~
to	TO	B-Premise	13	supports:12
make	VB	I-Premise	13	supports:12
new	JJ	I-Premise	13	supports:12
long-lasting	JJ	I-Premise	13	supports:12
friendships	NNS	I-Premise	13	supports:12
and	CC	O	~	~
of-course	JJ	B-Premise	14	supports:12
you	PRP	I-Premise	14	supports:12
will	MD	I-Premise	14	supports:12
have	VB	I-Premise	14	supports:12
a	DT	I-Premise	14	supports:12
lot	NN	I-Premise	14	supports:12
of	IN	I-Premise	14	supports:12
fun	NN	I-Premise	14	supports:12
.	.	O	~	~
For	IN	O	~	~
example	NN	O	~	~
,	,	B-Premise	15	supports:14
my	PRP$	I-Premise	15	supports:14
father	NN	I-Premise	15	supports:14
's	POS	I-Premise	15	supports:14
best	JJS	I-Premise	15	supports:14
moments	NNS	I-Premise	15	supports:14
in	IN	I-Premise	15	supports:14
his	PRP$	I-Premise	15	supports:14
life	NN	I-Premise	15	supports:14
are	VBP	I-Premise	15	supports:14
in	IN	I-Premise	15	supports:14
his	PRP$	I-Premise	15	supports:14
school	NN	I-Premise	15	supports:14
years	NNS	I-Premise	15	supports:14
.	.	O	~	~
Moreover	RB	O	~	~
,	,	O	~	~
he	PRP	B-Premise	16	supports:14
is	VBZ	I-Premise	16	supports:14
still	RB	I-Premise	16	supports:14
in-touch	JJ	I-Premise	16	supports:14
with	IN	I-Premise	16	supports:14
some	DT	I-Premise	16	supports:14
of	IN	I-Premise	16	supports:14
his	PRP$	I-Premise	16	supports:14
classmates	NNS	I-Premise	16	supports:14
and	CC	I-Premise	16	supports:14
sometimes	RB	I-Premise	16	supports:14
they	PRP	I-Premise	16	supports:14
get	VBP	I-Premise	16	supports:14
together	RB	I-Premise	16	supports:14
and	CC	I-Premise	16	supports:14
share	VB	I-Premise	16	supports:14
their	PRP$	I-Premise	16	supports:14
childhood	NN	I-Premise	16	supports:14
memories	NNS	I-Premise	16	supports:14
.	.	O	~	~
In	IN	O	~	~
other	JJ	O	~	~
words	NNS	O	~	~
,	,	O	~	~
childhood	NN	O	~	~
is	VBZ	B-Claim	17	~
,	,	I-Claim	17	~
indeed	RB	I-Claim	17	~
,	,	O	~	~
the	DT	O	~	~
most	RBS	B-Claim	18	~
happiest	JJ	I-Claim	18	~
moments	NNS	I-Claim	18	~
in	IN	I-Claim	18	~
a	DT	I-Claim	18	~
person	NN	I-Claim	18	~
's	POS	I-Claim	18	~
life	NN	I-Claim	18	~
.	.	O	~	~
There	EX	O	~	~
is	VBZ	O	~	~
only	RB	O	~	~
one	CD	O	~	~
life	NN	O	~	~
and	CC	O	~	~
one	CD	O	~	~
childhood	NN	B-Premise	19	~
and	CC	I-Premise	19	~
people	NNS	I-Premise	19	~
should	MD	O	~	~
live	VB	O	~	~
their	PRP$	O	~	~
childhood	NN	O	~	~
thoroughly	RB	O	~	~
.	.	O	~	~
